target_culture,norm_ged,relation_overlap,subject_role_alignment,object_role_alignment
African_Diaspora,0.28909475861256045,0.15901576520629573,0.4551598401598402,0.6722222222222222
Asian,0.29869428945667337,0.11020451408541303,0.4365476190476191,0.47435897435897434
European,0.3380609495171922,0.13621420301034212,0.4432917082917083,0.25
